Flat-Pot,Flat,Pot,Pop,ID ,No.,Fl_Time,Fl_Node,St_Height,St_Diam,Fl_Length,Fl_Wid,Fl_Height,Brnc_No,Leaf_No,Time_Bud
4-2,4,2,OWC,71,1,3/5/2019,3,7,2.3,1.7,1.9,1.5,4,22,2/26/2019
4-3,4,3,FSM,7,1,3/12/2019,2,5.6,1.7,1.5,1.7,1.5,1,8,3/4/2019
4-4,4,4,FIR,8,1,2/28/2019,2,2.6,1,1.4,1.6,1,0,6,2/22/2019
4-5,4,5,MBR,51,1,3/9/2019,2,6.3,1.5,1.6,1.9,1.6,2,14,2/28/2019
4-6,4,6,FIR,67,2,3/18/2019,5,10.2,1.8,1.2,1.1,1.3,4,40,3/10/2019
4-7,4,7,MTD,59,1,3/7/2019,3,8,1.4,1.5,1.9,1.5,6,30,2/26/2019
4-8,4,8,MBR,15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-9,4,9,OWC,89,2,3/11/2019,4,13.4,2,1.5,2.4,2,8,44,3/3/2019
4-10,4,10,RRM,77,1,3/31/2019,6,4.4,2.2,1.4,1.5,1.6,8,84,3/23/2019
4-11,4,11,MBR,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-12,4,12,FIR,40,2,3/10/2019,3,46,1.5,1.6,1.6,1.6,5,20,3/1/2019
4-13,4,13,FIR,80,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-14,4,14,SEC,86,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-15,4,15,HDM,13,1,4/10/2019,6,2.4,2.7,1.4,1.6,1.4,8,94,4/8/2019
4-16,4,16,HOV,94,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-17,4,17,BMP,93,1,3/6/2019,3,4.1,1.3,1.2,1.4,1.3,4,26,2/26/2019
4-18,4,18,RRM,32,2,3/9/2019,4,8.6,1.9,1.5,2.1,1.7,6,28,3/2/2019
4-19,4,19,BMP,31,2,3/6/2019,3,4,1.8,1.4,1.3,1.3,7,32,2/26/2019
4-20,4,20,RRM,44,2,3/16/2019,6,7.3,3.1,1.5,1.5,1.2,5,46,3/1/2019
4-21,4,21,RRM,28,2,3/9/2019,4,12.4,2,1.6,2.3,1.8,7,32,3/2/2019
4-22,4,22,MTD,29,2,3/1/2019,2,6.7,1.5,1.2,1.9,1,3,16,2/23/2019
4-23,4,23,BMP,78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-24,4,24,SEC,47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-25,4,25,OWC,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-26,4,26,EVS,42,1,5/1/2019,11,16.3,2.5,1.5,1.6,1.9,8,106,4/25/2019
4-27,4,27,MTD,90,1,3/18/2019,5,6.4,0.9,1.3,1.7,1.5,6,66,3/8/2019
4-28,4,28,BMP,81,1,3/1/2019,2,5.2,1.4,1.6,1.7,1.4,0,10,2/23/2019
4-29,4,29,HOV,51,2,2/25/2019,2,6.4,1.4,1.6,1.6,1.6,4,20,2/20/2019
4-30,4,30,SEC,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-31,4,31,MBR,39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-32,4,32,FIR,42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-1,5,1,FSM,60,1,3/7/2019,4,6.7,1.8,1.6,1.8,1.1,3,24,2/27/2019
5-2,5,2,SMG,9,1,3/13/2019,3,5.9,1.7,1.4,1.3,1.1,6,34,3/4/2019
5-3,5,3,BMP,4,2,3/6/2019,2,4.4,1,1.4,1.3,1.3,0,10,2/26/2019
5-4,5,4,FIR,61,1,3/15/2019,6,17.2,2.1,1.9,2,1.8,10,54,3/9/2019
5-5,5,5,OWC,49,1,3/22/2019,8,13.4,1.6,1.5,1.6,1.2,7,54,3/13/2019
5-6,5,6,EVS,71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-7,5,7,HOV,40,1,3/3/2019,3,8.6,1.5,1.5,1.5,1.4,4,18,2/24/2019
5-8,5,8,FIR,1,2,3/15/2019,2,5.2,1.1,1.3,1,1.1,4,118,3/10/2019
5-9,5,9,HDM,50,2,3/20/2019,5,5.2,1.9,1.4,1.3,1.3,6,50,3/10/2019
5-10,5,10,HDM,74,1,3/10/2019,3,7.7,1.2,1.4,1.9,1.2,4,22,3/4/2019
5-11,5,11,EVS,29,1,4/4/2019,3,7.8,0.5,1.5,1.9,1.4,5,92,3/26/2019
5-12,5,12,FIR,2,2,3/21/2019,6,7.1,2.8,1.5,1.8,1.6,9,61,3/11/2019
5-13,5,13,FIR,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-14,5,14,FSM,72,2,3/1/2019,2,5.6,1.6,1.5,1.8,1.6,3,14,2/24/2019
5-15,5,15,HOV,36,2,2/28/2019,2,5.2,1.3,1.4,1.5,0.8,3,14,2/23/2019
5-16,5,16,FSM,9,1,3/19/2019,6,7,1.4,1.6,1.5,1.5,4,40,3/11/2019
5-17,5,17,HDM,37,2,3/14/2019,3,8.4,1.8,1.4,1.9,1,2,22,3/6/2019
5-18,5,18,MBR,87,1,3/2/2019,2,9.6,2.3,1.5,1.1,1,4,16,2/24/2019
5-19,5,19,RRM,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-20,5,20,SMG,19,2,3/10/2019,3,8.4,1.9,1.5,1.9,1.6,5,22,3/3/2019
5-21,5,21,MBR,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-22,5,22,HDM,54,1,3/3/2019,3,7.4,1.8,1.6,1.8,1.8,3,20,2/24/2019
5-23,5,23,HOV,77,2,3/12/2019,3,4.5,1.4,1.5,2,1.6,6,28,3/5/2019
5-24,5,24,BMP,53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-25,5,25,EVS,59,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-26,5,26,EVS,54,1,3/8/2019,3,3.5,2.5,1.7,2,1.7,6,32,3/1/2019
5-27,5,27,EVS,87,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-28,5,28,HDM,96,1,3/4/2019,2,1.9,1.4,1.3,1.3,1.3,2,14,2/26/2019
5-29,5,29,OWC,86,2,3/9/2019,4,3.4,2.4,1.6,1.7,1.5,4,16,3/4/2019
5-30,5,30,HOV,20,2,3/6/2019,3,10.2,1.7,1.5,1.9,1.5,6,33,2/26/2019
5-31,5,31,SEC,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-32,5,32,OWC,95,2,3/4/2019,3,6.8,1.8,1.5,1.3,1.4,6,36,2/24/2019
6-1,6,1,FIR,28,2,4/2/2019,7,9.4,1.8,1.3,1.8,1.5,7,86,3/24/2019
6-2,6,2,FSM,45,2,3/8/2019,2,2.7,1.5,1.5,1.4,1.4,4,16,2/28/2019
6-3,6,3,OWC,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6-4,6,4,HOV,49,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6-5,6,5,SEC,21,1,4/30/2019,4,16.1,1.7,1.8,1.6,1.2,2,18,4/26/2019
6-6,6,6,FSM,98,2,3/6/2019,3,5.8,1.8,1.3,1.3,1.4,3,16,2/26/2019
6-7,6,7,MTD,98,1,3/6/2019,3,8.7,2.3,1.4,1.6,1.5,2,18,2/26/2019
6-8,6,8,FIR,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6-9,6,9,HDM,68,1,3/11/2019,2,5.6,1.4,1.4,2,1.5,0,8,3/3/2019
6-10,6,10,OWC,49,2,4/9/2019,10,13.7,2,1.7,1.4,1.4,10,90,3/28/2019
6-11,6,11,FIR,95,1,3/2/2019,2,4.6,1,1.6,1.9,1.9,0,8,2/24/2019
6-12,6,12,BMP,87,2,3/10/2019,3,8.8,1.5,1.5,1.9,1.4,4,24,2/28/2019
6-13,6,13,SMG,35,2,2/27/2019,1,3.3,0.9,1.2,1.1,0.9,0,4,2/20/2019
6-14,6,14,HOV,79,1,3/14/2019,3,6.2,1.3,1.6,1.2,0.9,2,16,3/4/2019
6-15,6,15,EVS,21,1,4/6/2019,9,7.1,1.2,1.4,0.8,0.7,12,112,4/1/2019
6-16,6,16,HOV,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6-17,6,17,RRM,3,2,3/20/2019,5,5.1,2.2,1.5,1.5,1.4,8,76,3/11/2019
6-18,6,18,SMG,64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6-19,6,19,HDM,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6-20,6,20,SEC,8,1,2/26/2019,2,6.8,1.4,1.6,1.3,1.2,0,16,2/21/2019
6-21,6,21,EVS,27,2,3/15/2019,6,6.3,1.5,1.4,1.5,1.1,6,56,3/9/2019
6-22,6,22,EVS,9,1,3/9/2019,3,9.7,1.7,1.8,2.1,1.9,2,14,3/1/2019
6-23,6,23,HOV,89,2,2/26/2019,2,6.2,1.6,1.8,1.5,1.3,0,16,2/20/2019
6-24,6,24,RRM,12,2,3/4/2019,3,9.8,1.3,1.6,1.4,1.4,4,22,2/24/2019
6-25,6,25,FIR,19,1,3/7/2019,3,7.7,1.6,1.6,1.7,1.4,6,28,2/27/2019
6-26,6,26,FSM,2,2,2/26/2019,2,3.3,1.2,1.4,1.7,1.2,2,12,2/22/2019
6-27,6,27,FSM,15,1,3/6/2019,3,4.4,1.9,1.5,1.6,1.3,2,24,2/26/2019
6-28,6,28,SMG,99,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6-29,6,29,HDM,19,1,3/7/2019,3,9.3,2,1.6,1.7,1.2,5,28,2/26/2019
6-30,6,30,FSM,98,1,2/24/2019,2,5.7,1,1.3,0.8,1.1,2,12,2/20/2019
6-31,6,31,RRM,86,2,3/6/2019,4,10.4,2.4,1.4,1.6,1.6,8,52,2/27/2019
6-32,6,32,RRM,11,2,4/2/2019,7,1.7,3.3,1.3,1.2,1.2,8,130,3/26/2019
7-1,7,1,FIR,61,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7-2,7,2,EVS,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7-3,7,3,RRM,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7-4,7,4,BMP,16,2,4/5/2019,6,20.5,2.2,2.1,2.1,1.8,10,66,3/29/2019
7-5,7,5,EVS,87,2,4/8/2019,5,7.4,1.3,1.5,1.5,1.6,13,94,3/30/2019
7-6,7,6,SEC,37,1,5/4/2019,13,8.3,1.8,2.1,2,2.1,4,88,4/29/2019
7-7,7,7,RRM,80,2,3/16/2019,6,10.3,1.9,1.8,2.5,1.8,8,52,3/10/2019
7-8,7,8,SMG,72,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7-9,7,9,BMP,92,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7-10,7,10,SEC,16,2,3/12/2019,5,4.6,2.9,1.6,1.9,1.5,11,52,3/5/2019
7-11,7,11,EVS,78,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7-12,7,12,MBR,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7-13,7,13,RRM,32,1,3/12/2019,3,9.8,1.8,2,1.8,1.6,5,20,3/3/2019
7-14,7,14,EVS,43,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7-15,7,15,FSM,94,1,3/3/2019,1,4.2,1.2,1.3,1.2,1.2,0,6,2/24/2019
7-16,7,16,MTD,97,1,2/23/2019,1,2.5,1.3,1,0.9,0.9,0,6,2/20/2019
7-17,7,17,FIR,80,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7-18,7,18,RRM,79,1,3/7/2019,4,10.7,1.9,1.4,2.1,1.3,5,24,2/27/2019
7-19,7,19,SMG,36,1,3/3/2019,2,8.3,1.9,1.5,1.4,1.1,2,22,2/24/2019
7-20,7,20,SEC,21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7-21,7,21,RRM,89,2,3/14/2019,3,6.1,2.3,1.5,1.6,1.2,6,72,3/6/2019
7-22,7,22,MTD,91,1,3/20/2019,7,6.8,1.9,1.5,1.8,1.7,4,50,3/13/2019
7-23,7,23,OWC,3,2,3/8/2019,4,14.5,2.1,1.8,2,2.4,6,26,2/27/2019
7-24,7,24,MBR,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7-25,7,25,RRM,40,1,4/6/2019,6,16.4,1.9,1.9,1.3,1.5,2,24,3/29/2019
7-26,7,26,HDM,27,1,3/24/2019,5,8.2,1.5,1.6,1.5,1.3,2,34,3/15/2019
7-27,7,27,BMP,87,1,3/3/2019,3,5.3,1,1.4,1.6,1.2,0,10,2/25/2019
7-28,7,28,OWC,67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7-29,7,29,MTD,22,2,3/8/2019,3,8.6,1.8,1.6,1.9,1.5,6,34,3/1/2019
